Date,RegionName,State,Metro,County,City,SizeRank,Zri,MoM,QoQ,YoY,ZriRecordCnt
4/30/16,Northeast Dallas,TX,Dallas-Fort Worth,Dallas,Dallas,0,1685,0.00777512,0.018742443,0.075989783,57044
4/30/16,Paradise,NV,Las Vegas,Clark,Las Vegas,1,1206,0.003327787,0.010050251,0.043252595,61870
4/30/16,Maryvale,AZ,Phoenix,Maricopa,Phoenix,2,1000,0.017293998,0.044932079,0.063829787,49156
4/30/16,Upper West Side,NY,New York,New York,New York,3,4041,0.013798294,0.035622758,0.011261261,71047
4/30/16,Sherman Oaks,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Los Angeles,4,3418,0.013040901,0.028588625,0.061820441,19605
4/30/16,South Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Los Angeles,5,2136,0.003759398,0.019570406,0.074987418,34570
4/30/16,Upper East Side,NY,New York,New York,New York,6,3691,0.010402409,0.033604032,0.035634119,82604
4/30/16,Sunrise Manor,NV,Las Vegas,Clark,Las Vegas,7,1059,0.004743833,0.014367816,0.033170732,43549
4/30/16,East New York,NY,New York,Kings,New York,8,2250,0.004016064,0.009421265,0.092763477,20236
4/30/16,Spring Valley,NV,Las Vegas,Clark,Las Vegas,9,1218,0.001644737,0.011627907,0.043701799,64681
4/30/16,Southeast Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Los Angeles,10,2018,0.005480817,0.028018339,0.09495388,25505
4/30/16,Paradise Valley,AZ,Phoenix,Maricopa,Phoenix,11,1495,0.004704301,0.009453072,0.047652418,60501
4/30/16,Deer Valley,AZ,Phoenix,Maricopa,Phoenix,12,1271,0.008730159,0.02170418,0.044371405,53047
4/30/16,Washington Heights,NY,New York,New York,New York,13,2645,0.004176158,0.003414264,0.104845447,14868
4/30/16,Van Nuys,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Los Angeles,14,2538,0.003558719,0.013173653,0.061480552,13887
4/30/16,Astoria,NY,New York,Queens,New York,15,2465,0.00203252,0.006533279,0.009418509,23994
4/30/16,North Mountain,AZ,Phoenix,Maricopa,Phoenix,16,1164,0.00954033,0.031000886,0.063985375,49662
4/30/16,Far North,TX,Dallas-Fort Worth,Dallas,Dallas,17,2209,-0.000904568,0.005919854,0.045433034,31371
4/30/16,Hollywood,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Los Angeles,18,2693,0.008236615,0.000371471,0.054837446,11828
4/30/16,Williamsburg,NY,New York,Kings,New York,19,2954,0.00169549,0.012684265,0.05764411,21860
4/30/16,Bedford Stuyvesant,NY,New York,Kings,New York,20,2549,0.002753737,0.011507937,0.028652139,24211
4/30/16,East Side,TX,El Paso,El Paso,El Paso,21,1050,-0.009433962,-0.026876738,-0.015009381,39732
4/30/16,Camelback East,AZ,Phoenix,Maricopa,Phoenix,22,1353,0.008196721,0.012724551,0.062009419,48129
4/30/16,Alhambra,AZ,Phoenix,Maricopa,Phoenix,23,1079,0.011246485,0.03451582,0.084422111,34382
4/30/16,Flatbush,NY,New York,Kings,New York,24,2129,0.000940291,0.009962049,0.04311612,13784
4/30/16,Crown Heights,NY,New York,Kings,New York,25,2484,0.003231018,0.010989011,0.060631939,14887
4/30/16,Southeast Dallas,TX,Dallas-Fort Worth,Dallas,Dallas,26,1032,0.017751479,0.032,0.032,30647
4/30/16,Jamaica,NY,New York,Queens,New York,27,2149,0.000465549,0.008446739,0.084258325,22463
4/30/16,Harlem,NY,New York,New York,New York,28,2978,0.00134499,-0.005344021,0.059032717,16454
4/30/16,Roosevelt,CA,Fresno,Fresno,Fresno,29,1092,0.010175763,0.038022814,0.057115198,26628
4/30/16,Williamsbridge,NY,New York,Bronx,New York,30,1830,-0.00054615,0.007709251,0.052328925,12017
4/30/16,East Harlem,NY,New York,New York,New York,31,2963,0,-0.007037534,0.025614399,9940
4/30/16,Bushwick,NY,New York,Kings,New York,32,2598,0.004640371,0.020023557,0.075776398,13542
4/30/16,North Scottsdale,AZ,Phoenix,Maricopa,Scottsdale,33,2493,-0.002001601,-0.005584364,-0.000400962,60571
4/30/16,East Flatbush,NY,New York,Kings,New York,34,2046,0.005899705,0.01037037,0.09236519,15822
4/30/16,Enterprise,NV,Las Vegas,Clark,Las Vegas,35,1299,0.002314815,0.006976744,0.035885167,52952
4/30/16,East San Jose,CA,San Jose,Santa Clara,San Jose,36,3013,0.007692308,0.02552757,0.112629247,20520
4/30/16,South Mountain,AZ,Phoenix,Maricopa,Phoenix,37,1131,0.0180018,0.056022409,0.095930233,32182
4/30/16,East Memphis-Colonial-Yorkshire,TN,Memphis,Shelby,Memphis,38,905,0.003325942,0.010044643,0.001106195,41535
4/30/16,Corona,NY,New York,Queens,New York,39,2334,0.00257732,0.001287001,0.062357761,9934
4/30/16,Sunset Park,NY,New York,Kings,New York,40,2233,-0.000894855,0.004046763,0.080832527,9248
4/30/16,Concourse,NY,New York,Bronx,New York,41,1773,0.002828054,0.00681431,0.158066623,2915
4/30/16,South Side,TX,Corpus Christi,Nueces,Corpus Christi,42,1560,-0.00128041,-0.002557545,-0.010152284,30250
4/30/16,North Hollywood,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Los Angeles,43,2545,0.005531411,0.020449078,0.064408197,11390
4/30/16,Alief,TX,Houston,Harris,Houston,44,1317,0.005343511,0.016203704,0.04028436,22478
4/30/16,Borough Park,NY,New York,Kings,New York,45,2267,-0.004391744,0.00443066,0.090952839,9798
4/30/16,Elmhurst,NY,New York,Queens,New York,46,2283,0.007057786,0.009730208,0.061860465,12668
4/30/16,Bullard,CA,Fresno,Fresno,Fresno,47,1383,0.002173913,0.009489051,0.025964392,30600
4/30/16,Mid City,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Los Angeles,48,2778,0.010917031,0.01870187,0.053070508,17460
4/30/16,Bensonhurst,NY,New York,Kings,New York,49,2200,-0.000908265,0.013824885,0.102756892,12528
4/30/16,Central City,TX,Corpus Christi,Nueces,Corpus Christi,50,1140,0.010638298,0.021505376,-0.030612245,27521
4/30/16,Northeast,TX,El Paso,El Paso,El Paso,51,921,0.003267974,0.008762322,0.019933555,25846
