"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2016-06-30,"Northeast Dallas","TX","Dallas-Fort Worth","Dallas","Dallas",0,1718,0.00880798590722255,0.026284348864994,0.07375,57044
2016-06-30,"Paradise","NV","Las Vegas","Clark","Las Vegas",1,1210,0.000827129859387924,0.00665557404326123,0.0341880341880342,61870
2016-06-30,"Maryvale","AZ","Phoenix","Maricopa","Phoenix",2,1039,0.0176297747306562,0.0537525354969574,0.10531914893617,49156
2016-06-30,"Upper West Side","NY","New York","New York","New York",3,4044,-0.00443131462333826,0.0127723516153268,-0.000247218788627936,71048
2016-06-30,"Sherman Oaks","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",4,3513,0.0123919308357349,0.0393491124260355,0.0906550760633344,19605
2016-06-30,"South Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",5,2162,0.0083955223880597,0.0159774436090226,0.0783042394014963,34570
2016-06-30,"Upper East Side","NY","New York","New York","New York",6,3681,-0.0078167115902965,0.00656275635767022,0.0191029900332226,82605
2016-06-30,"Sunrise Manor","NV","Las Vegas","Clark","Las Vegas",7,1075,0.00655430711610487,0.018957345971564,0.0406582768635044,43549
2016-06-30,"East New York","NY","New York","Kings","New York",8,2251,-0.000887705281846427,0.00491071428571429,0.0980487804878049,20236
2016-06-30,"Spring Valley","NV","Las Vegas","Clark","Las Vegas",9,1222,0.000819000819000819,0.00493421052631579,0.0355932203389831,64681
2016-06-30,"Southeast Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",10,2034,0.00394866732477789,0.0124440019910403,0.0976794387479763,25505
2016-06-30,"Paradise Valley","AZ","Phoenix","Maricopa","Phoenix",11,1516,0.00730897009966777,0.0188172043010753,0.0390678546949966,60500
2016-06-30,"Deer Valley","AZ","Phoenix","Maricopa","Phoenix",12,1289,0.00389408099688474,0.0222045995241872,0.0479674796747967,53047
2016-06-30,"Washington Heights","NY","New York","New York","New York",13,2695,0.010119940029985,0.024325351577347,0.0880096891400888,14868
2016-06-30,"Van Nuys","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",14,2576,0.00743058271411811,0.0181818181818182,0.0697674418604651,13888
2016-06-30,"Astoria","NY","New York","Queens","New York",15,2482,0.00363930448847554,0.00812347684809098,0.0256198347107438,23994
2016-06-30,"North Mountain","AZ","Phoenix","Maricopa","Phoenix",16,1181,0.00682011935208866,0.0233968804159445,0.0668473351400181,49662
2016-06-30,"Far North","TX","Dallas-Fort Worth","Dallas","Dallas",17,2214,0.00180995475113122,0.00180995475113122,0.0302466263378315,31371
2016-06-30,"Hollywood","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",18,2788,0.0156648451730419,0.0430228208005986,0.0764478764478764,11828
2016-06-30,"Williamsburg","NY","New York","Kings","New York",19,2954,0,0.00169548999660902,0.0456637168141593,21860
2016-06-30,"Bedford Stuyvesant","NY","New York","Kings","New York",20,2541,-0.00235571260306243,-0.000786472670074715,0.0304136253041363,24211
2016-06-30,"East Side","TX","El Paso","El Paso","El Paso",21,1034,-0.00481231953801732,-0.0226843100189036,-0.037243947858473,39734
2016-06-30,"Camelback East","AZ","Phoenix","Maricopa","Phoenix",22,1381,0.00876552227903579,0.0282948622486969,0.0763834762275916,48125
2016-06-30,"Alhambra","AZ","Phoenix","Maricopa","Phoenix",23,1108,0.0118721461187215,0.0364826941066417,0.110220440881764,34382
2016-06-30,"Flatbush","NY","New York","Kings","New York",24,2123,-0.00141110065851364,-0.00141110065851364,0.0346003898635478,13784
2016-06-30,"Crown Heights","NY","New York","Kings","New York",25,2480,-0.00161030595813205,0.00202020202020202,0.0539736506587335,14887
2016-06-30,"Southeast Dallas","TX","Dallas-Fort Worth","Dallas","Dallas",26,1069,0.0151946818613485,0.0511307767944936,0.0711422845691383,30647
2016-06-30,"Jamaica","NY","New York","Queens","New York",27,2151,0,0.00232991612301957,0.0722831505483549,22463
2016-06-30,"Harlem","NY","New York","New York","New York",28,3031,0.00697674418604651,0.0195089135553313,0.051335414498786,16454
2016-06-30,"Roosevelt","CA","Fresno","Fresno","Fresno",29,1089,-0.00457038391224863,0.00740055504162812,0.0341880341880342,26628
2016-06-30,"Williamsbridge","NY","New York","Bronx","New York",30,1820,-0.00219298245614035,-0.00546448087431694,0.0305775764439411,12017
2016-06-30,"East Harlem","NY","New York","New York","New York",31,3011,0.00837240455458808,0.0165428764348413,0.0224108658743633,9940
2016-06-30,"Bushwick","NY","New York","Kings","New York",32,2593,-0.00230858022316275,0.00270688321732405,0.0644499178981938,13542
2016-06-30,"North Scottsdale","AZ","Phoenix","Maricopa","Scottsdale",33,2506,0.00481154771451484,0.00360432519022827,-0.00791765637371338,60571
2016-06-30,"East Flatbush","NY","New York","Kings","New York",34,2086,0.00724287783679382,0.0245579567779961,0.108984582668793,15822
2016-06-30,"Enterprise","NV","Las Vegas","Clark","Las Vegas",35,1300,0,0.00386100386100386,0.0284810126582278,52952
2016-06-30,"East San Jose","CA","San Jose","Santa Clara","San Jose",36,3064,0.00889035232136977,0.0244065529923103,0.10974284679464,20520
2016-06-30,"South Mountain","AZ","Phoenix","Maricopa","Phoenix",37,1151,0.00611888111888112,0.0350719424460432,0.0920303605313093,32182
